tradeDate,openPrice,highPrice,lowPrice,closePrice,volume,ticker
2020-01-01,96.86,97.01,94.82,95.87,1440653,600276
2020-01-02,94.27,94.27,92.02,92.79,8661462,600276
2020-01-03,93.6,93.6,88.55,89.92,18204698,600276
2020-01-06,89.28,93.68,89.28,93.42,9526670,600276
2020-01-07,92.61,96.7,92.61,96.48,11025785,600276
2020-01-08,94.33,94.33,93.34,93.36,8513430,600276
2020-01-09,93.62,100.93,93.62,98.42,12460098,600276
2020-01-10,98.76,98.76,96.76,97.99,7579846,600276
2020-01-13,96.94,104.47,96.94,103.96,6565680,600276
2020-01-14,102.27,104.42,101.73,103.08,978704,600276
2020-01-15,102.08,108.02,102.08,107.76,8984060,600276
2020-01-16,109.85,109.85,101.14,101.47,8178854,600276
2020-01-17,99.83,107.76,99.83,107.15,5940974,600276
2020-01-20,106.76,115.12,106.76,114.72,17992948,600276
2020-01-21,114.73,122.51,114.73,122.07,12360944,600276
2020-01-22,122.75,122.75,119.07,119.55,14189190,600276
2020-01-23,120.45,120.45,113.32,114.94,11487163,600276
2020-01-24,112.91,112.91,109.66,110.14,5671625,600276
2020-01-27,110.52,112.27,110.52,111.98,2026272,600276
2020-01-28,111.16,116.89,111.16,116.84,20055410,600276
2020-01-29,115.22,123.26,115.22,122.72,14359148,600276
2020-01-30,123.54,123.62,120.15,122.0,10884341,600276
2020-01-31,121.4,125.63,121.4,124.85,5881288,600276
2020-02-03,124.73,126.31,123.77,125.22,12718845,600276
2020-02-04,125.65,128.78,124.28,126.62,8600443,600276
2020-02-05,125.77,125.77,125.04,125.1,6446928,600276
2020-02-06,125.9,132.7,125.9,130.74,7711618,600276
2020-02-07,130.37,135.93,130.37,134.4,8139944,600276
2020-02-10,132.41,132.41,129.43,130.2,8190949,600276
2020-02-11,130.99,130.99,124.3,127.72,7157056,600276
2020-02-12,127.98,130.47,127.98,130.33,7438675,600276
2020-02-13,130.2,133.92,130.2,133.04,14154658,600276
2020-02-14,131.87,131.87,129.34,130.15,10248677,600276
