接口名称（中文）	接口名称（英文）	所属数据包（有效期）		
获取一只或多只沪深证券在历史某个日期段内的分钟线数据	getSHSZBarHistRangeLite	[极速版数据包（2025/08/26~2026/09/09）]		
沪深股票日行情	getMktEqud	[免费版数据包（2025/08/26~2026/09/09）]		
港股日行情	getMktHKEqud	[极速版数据包（2025/08/26~2026/09/09）]		
沪深大宗交易	getMktBlockd	[免费版数据包（2025/08/26~2026/09/09）]		
债券日行情	getMktBondd	[极速版数据包（2025/08/26~2026/09/09）]		
债券回购日行情	getMktRepod	[极速版数据包（2025/08/26~2026/09/09）]		
期货日行情(主力以持仓量计算)	getMktFutd	[免费版数据包（2025/08/26~2026/09/09）]		
期货会员多头持仓排名	getMktFutMLR	[免费版数据包（2025/08/26~2026/09/09）]		
期货会员空头持仓排名	getMktFutMSR	[极速版数据包（2025/08/26~2026/09/09）]		
期货会员成交量排名	getMktFutMTR	[极速版数据包（2025/08/26~2026/09/09）]		
基金日行情	getMktFundd	[免费版数据包（2025/08/26~2026/09/09）]		
指数日行情	getMktIdxd	[免费版数据包（2025/08/26~2026/09/09）]		
获取多只股票历史上某一天的因子数据	getStockFactorsOneDay	[免费版数据包（2025/08/26~2026/09/09）]		
获取多只股票历史上某一时间段的因子数据	getStockFactorsDateRange	[免费版数据包（2025/08/26~2026/09/09）]		
股票基本信息	getEqu	[免费版数据包（2025/08/26~2026/09/09）]		
股票首次上市信息	getEquIPO	[免费版数据包（2025/08/26~2026/09/09）]		
股票分红信息	getEquDiv	[免费版数据包（2025/08/26~2026/09/09）]		
股票配股信息	getEquAllot	[免费版数据包（2025/08/26~2026/09/09）]		
股票股权分置	getEquRef	[免费版数据包（2025/08/26~2026/09/09）]		
股票拆股信息	getEquSplits	[免费版数据包（2025/08/26~2026/09/09）]		
股票每日回报率	getEquRetud	[免费版数据包（2025/08/26~2026/09/09）]		
股票行业分类	getEquIndustry	[免费版数据包（2025/08/26~2026/09/09）]		
沪深融资融券每日汇总信息	getFstTotal	[免费版数据包（2025/08/26~2026/09/09）]		
沪深融资融券每日交易明细信息	getFstDetail	[免费版数据包（2025/08/26~2026/09/09）]		
基金基本信息	getFund	[免费版数据包（2025/08/26~2026/09/09）]		
基金历史净值(货币型,短期理财债券型除外)	getFundNav	[免费版数据包（2025/08/26~2026/09/09）]		
基金历史收益(货币型,短期理财债券型)	getFundDivm	[免费版数据包（2025/08/26~2026/09/09）]		
基金净值调整	getFundDiv	[免费版数据包（2025/08/26~2026/09/09）]		
基金资产配置	getFundAssets	[免费版数据包（2025/08/26~2026/09/09）]		
基金持仓明细	getFundHoldings	[免费版数据包（2025/08/26~2026/09/09）]		
ETF基金申赎清单基本信息	getFundETFPRList	[极速版数据包（2025/08/26~2026/09/09）]		
ETF基金申赎清单成分券信息	getFundETFCons	[免费版数据包（2025/08/26~2026/09/09）]		
指数基本信息	getIdx	[免费版数据包（2025/08/26~2026/09/09）]		
指数成分构成	getIdxCons	[免费版数据包（2025/08/26~2026/09/09）]		
期货合约信息	getFutu	[免费版数据包（2025/08/26~2026/09/09）]		
